,name,latitude,longitude,adress,photo_id,photo_width
0,баскетбольная площадка,55.692279,37.5967583,"москва, россия, 117449",0,0
1,баскетбольная/футбольная коробка,55.695427,37.569923,"москва, россия, 117312",Aap_uEAA9iNe7oYPfR9Pzi9EuYvaPYuWw68oH5YUDTaspr6o7chqlEhtjPvlCRucJOWAGl2IbgHx50b2mpbkdGeqWFEFepDpdY_WT1r9AiqK30PxSxhwvib3n38jzeojiUqTAVk_mvEmWUIoRpcTivCwYncF2UAMnAiZJwSOoqfvm2yCHOkN,4032
2,большая волейбольно-баскетбольная площадка,55.666853,37.54125450000001,"почта, москва, россия, 117393",Aap_uEDEkpVZuobn6bMS_SDEIJWzzpvhnohPEQqhvJkv0DCQwOmR3BqdKeBAo4AlDONbdRKYNwJCFaryXKiu2zoTlCyS4gdPz7cmi-iqFShfIUqzC6UixIuxWKTc6U92q2dPS6kERZiM7QX-D-xP24Avdehpk_BTClqNt9oDKWKlMyENEePD,5504
3,баскетбольная площадка,55.7138727,37.60820289999999,"москва, россия, 115419",0,0
4,nba jam,55.65864699999999,37.6117739,"фруктовая ул., 9, москва, россия, 117556",Aap_uEBwiLIvlcEI6khXSM0bnYKAcGKIG7eQY4bSPbxq7NOJTa3OCUeCqbxhg8Io41CbBy5-IMoIbbTCdinSs_0ziPw7pUJQ9oV3vbJ0aDIHaeO_J7g8SBCBx3kY_PGzhg4uzdCcH_awCo5Uo9hfVTZZbO_TmfRRVdQ1a8MyCIBv0Ap_PDJd,4160
5,баскетбольная площадка,55.6639091,37.4922033,"москва, россия, 119526",0,0
6,баскетбольная площадка,55.6424805,37.5142595,"ул. академика арцимовича, 7, москва, россия, 117437",Aap_uECWouLwQY2Vp-P4hWIq_G9kUKCoGEmVdNfzHArRHC0xS0gnAefsDOCBhEYZBvgVxE5l2tErRTHxNFZsV8Jrpe3uRqspnviZnUW3RBXrQld2bqJiQK59u884vhcAmq809wmBtEZUMRUbUv_XXyNm7yBXCnQySsMifbwcQ6vRB0P2az9z,4160
7,баскетбольная площадка,55.6965807,37.6420732,"автозаводская ул., 23 строение 94, москва, россия, 115280",0,0
8,basketball court,55.6697867,37.5717375,"москва, россия, 117418",0,0
9,баскетбольная площадка,55.6279842,37.5237045,"ул. академика капицы, 14, москва, россия, 117647",0,0
10,баскетбольная площадка,55.6190115,37.4933761,"ул. теплый стан, 9 корпус 9, москва, россия, 117465",0,0
11,"баскетбольная площадка, 3 корта, 7 колец",55.6982645,37.6686185,"андропова пр-т, 1а, москва, россия, 115432",0,0
12,баскетбольная игровая площадка,55.6614811,37.4901,"москва, россия, 119526",0,0
13,баскетбольная площадка,55.7470423,37.5498201,"кутузовский просп., 20, москва, россия, 121151",0,0
14,баскетбольная площадка,55.7588677,37.635397,"москва, россия, 101000",Aap_uEDdBeF4GmRRH8OZ3Q2JPQinhIr9sKcgDCgdbAi5Ain3MLFNcpEPeU_F8948FRHjEdBAPNOSjSUre9tahkYnSuSXcnRO5AW4GdS5JoftPYaeTKE7ezo4L22ghI97KxpkgxKMGvmVHP5B7D7ISPE1vY-HFpwlCEIbSihy4N99wFsdcwc_,4032
15,basketball court,55.6666254,37.566257,"москва, россия, 117418",Aap_uEC-7_5enunRPbyAnEVuDEQlCB3k73p9gBnnpmLSbRpuPfZdzP4OTUqk9zmnfhlIOwqDOFMGxrFKplXR45ALNPPO1o7Hn8B2e7OgfpefbqCPLTZj8dR0ztEj9g07emLi_qIetkHJMn2W6pVBkwA3jHiTsWdgQLTL7MTSJfwrsphdzYqu,4032
16,баскетбольная площадка,55.77446399999999,37.639961,"большая спасская ул., 15, москва, россия, 129090",0,0
17,баскетбольная площадка,55.74790059999999,37.5006925,"физкультурный пр-д, 7/13, москва, россия, 121309",0,0
18,баскетболтная площадка,55.7126518,37.6623497,"ул. ленинская слобода, 4, москва, россия, 115280",Aap_uEA4LIRUymScp-L6wizxoHAf7SbXtul_RaDVFWvVKEuPtnUR-LjAS3-ecxBkoDvI9pTRP9krcl6JmYVGKMzdBtFJtJ-J1193g2ZUynUy8AhVVC3qv25x3vQdUSE6KrFgoOpI4H0LFEKgZ6dxFOCBgbteMyfgCj5gSMabbALCgFUwtAOM,1920
19,многофункциональная площадка arbat hall,55.7521693,37.5844615,"новый арбат ул., 21, москва, россия, 119019",Aap_uEBXDbq82yoCvMNrlVE0vWYT61YvtQGPZjRdSPNnDV7QBJV5QQPh-PjucsQPIY8Xf0vHEl8NirIYG6UN-IAun-ydixISLJ9d4ojcjH14PFoJl_IaIRGUxZn2NghQQuMY3Z-tZiHB-74sp3Ro9QbOpM9SsG3U9EdOoPgWjddtXAj_l7DR,2400
20,площадка на трехпрудном,55.7649675,37.5965696,"трехпрудный пер., 9 стр, москва, россия, 123001",Aap_uEDt9KmHxH-cM6il4WepxvHsJK9PxV3n53NC8t3yV8ylZmpjyvBMWQYYWj0TupdOwN5LSgY3d-pJ0fUS3-LPPiyx8gBS-PatsEwHe2hpnBDsfOFeUH_03xDDzKYpuCVLYgE864OtKSByPDauUnBpLf1crLQ8Cnbq21qZJfM-D5Jtt5tY,4032
21,баскетбольная площадка,55.8058083,37.6434521,"москва, россия, 129626",0,0
22,баскетбольная площадка,55.77114229999999,37.492787,"ул. мнёвники, 7 строение 2, москва, московская обл., россия, 123308",0,0
23,баскетбольная площадка,55.745341,37.7008081,"москва, россия, 111024",0,0
24,баскетбольная площадка,55.8185041,37.6497913,"москва, россия, 129366",0,0
25,баскетбольная площадка на территории учебного заведения,55.8069976,37.6428359,"москва, россия, 129626",0,0
26,баскетбольная площадка,55.79815319999999,37.569351,"петровско-разумовский пр-д, 16 строение 2, москва, московская обл., россия, 127287",Aap_uEASxFQgJMIuII3FNvcKRLwuDQ1_7Q8BqnLnnrQqu4yW8GK4oXXqwfzbqo3ZUATMId9eJ7-cYakw9WSetEijQaJkgcoRdBBVNR80lhXNRo9YfqgQgEU0GJTkQYbnBZIJvpyF_C36tLEwc44TMp3eMLmqLDVjV3YojORev1LJ1Ew7mVLh,3008
