,name,latitude,longitude,adress,photo_id,photo_width
0,Баскетбольная площадка,55.692279,37.5967583,"Москва, Россия, 117449",,
1,Академический парк,55.6914952,37.5668634,"ул. Дмитрия Ульянова, 9Ас1, Москва, Россия, 117292",Aap_uEAS5vR6MTTqib1MbKuHwXMcvqi9sbsgj1pupsDe4Mq3bNxSWbsmrXp5hhRO5E_esc9rteiKr_vGt-Tl_hL_QRYcM9LAXUK9OMk3bgcef4kY9K4tsz2fnYQa8642Lbg2TmFVwS5iAuQr0l6JqOm6rxEf94EOF8RCFMHGgAp3gcrYEm94,6016.0
2,Баскетбольная/футбольная коробка,55.695427,37.569923,"Москва, Россия, 117312",Aap_uEAA9iNe7oYPfR9Pzi9EuYvaPYuWw68oH5YUDTaspr6o7chqlEhtjPvlCRucJOWAGl2IbgHx50b2mpbkdGeqWFEFepDpdY_WT1r9AiqK30PxSxhwvib3n38jzeojiUqTAVk_mvEmWUIoRpcTivCwYncF2UAMnAiZJwSOoqfvm2yCHOkN,4032.0
3,Большая волейбольно-баскетбольная площадка,55.666853,37.54125450000001,"Почта, Москва, Россия, 117393",Aap_uEDEkpVZuobn6bMS_SDEIJWzzpvhnohPEQqhvJkv0DCQwOmR3BqdKeBAo4AlDONbdRKYNwJCFaryXKiu2zoTlCyS4gdPz7cmi-iqFShfIUqzC6UixIuxWKTc6U92q2dPS6kERZiM7QX-D-xP24Avdehpk_BTClqNt9oDKWKlMyENEePD,5504.0
4,Баскетбольная площадка,55.7138727,37.60820289999999,"Москва, Россия, 115419",,
5,NBA JAM,55.65864699999999,37.6117739,"Фруктовая ул., 9, Москва, Россия, 117556",Aap_uEBwiLIvlcEI6khXSM0bnYKAcGKIG7eQY4bSPbxq7NOJTa3OCUeCqbxhg8Io41CbBy5-IMoIbbTCdinSs_0ziPw7pUJQ9oV3vbJ0aDIHaeO_J7g8SBCBx3kY_PGzhg4uzdCcH_awCo5Uo9hfVTZZbO_TmfRRVdQ1a8MyCIBv0Ap_PDJd,4160.0
6,Баскетбольная Площадка,55.6639091,37.4922033,"Москва, Россия, 119526",,
7,Баскетбольная площадка,55.6424805,37.5142595,"ул. Академика Арцимовича, 7, Москва, Россия, 117437",Aap_uECWouLwQY2Vp-P4hWIq_G9kUKCoGEmVdNfzHArRHC0xS0gnAefsDOCBhEYZBvgVxE5l2tErRTHxNFZsV8Jrpe3uRqspnviZnUW3RBXrQld2bqJiQK59u884vhcAmq809wmBtEZUMRUbUv_XXyNm7yBXCnQySsMifbwcQ6vRB0P2az9z,4160.0
8,Баскетбольная площадка,55.6965807,37.6420732,"Автозаводская ул., 23 строение 94, Москва, Россия, 115280",,
9,Basketball court,55.6697867,37.5717375,"Москва, Россия, 117418",,
10,Баскетбольная площадка,55.6279842,37.5237045,"ул. Академика Капицы, 14, Москва, Россия, 117647",,
11,Баскетбольная площадка,55.6190115,37.4933761,"ул. Теплый Стан, 9 корпус 9, Москва, Россия, 117465",,
12,"Баскетбольная Площадка, 3 корта, 7 колец",55.6982645,37.6686185,"Андропова пр-т, 1а, Москва, Россия, 115432",,
13,Баскетбольная игровая площадка,55.6614811,37.4901,"Москва, Россия, 119526",,
14,Баскетбольная площадка,55.7470423,37.5498201,"Кутузовский просп., 20, Москва, Россия, 121151",,
15,Баскетбольная Площадка,55.7588677,37.635397,"Москва, Россия, 101000",Aap_uEDdBeF4GmRRH8OZ3Q2JPQinhIr9sKcgDCgdbAi5Ain3MLFNcpEPeU_F8948FRHjEdBAPNOSjSUre9tahkYnSuSXcnRO5AW4GdS5JoftPYaeTKE7ezo4L22ghI97KxpkgxKMGvmVHP5B7D7ISPE1vY-HFpwlCEIbSihy4N99wFsdcwc_,4032.0
